Date,Time,TargetTemp,ActualTemp,System,SystemAge,BuildingID,10
6/26/13,13:13:20,66.0,63,7,21.0,15,
6/27/13,14:13:20,70.0,60,10,23.0,4,
6/28/13,15:13:20,65.0,61,8,10.0,18,
6/29/13,16:13:20,67.0,80,12,8.0,12,
6/30/13,17:13:20,68.0,57,1,7.0,8,
6/1/13,18:13:20,66.0,73,9,5.0,8,
6/2/13,19:13:20,65.0,60,11,29.0,10,
6/3/13,20:13:20,69.0,67,2,2.0,11,
6/4/13,21:13:20,66.0,72,7,1.0,12,
6/5/13,22:13:20,65.0,76,13,16.0,5,
6/6/13,23:13:20,68.0,57,14,,9,
6/7/13,0:33:07,70.0,77,11,19.0,17,
6/8/13,1:33:07,69.0,58,3,,9,
6/9/13,2:33:07,67.0,79,20,18.0,8,
6/10/13,3:33:07,66.0,68,15,,20,
6/11/13,4:33:07,69.0,56,17,11.0,19,
6/12/13,5:33:07,67.0,62,3,12.0,17,
6/13/13,6:33:07,,64,12,28.0,4,
6/14/13,7:33:07,68.0,72,16,21.0,2,
6/15/13,8:33:07,68.0,55,14,27.0,16,
6/16/13,9:33:07,65.0,77,14,10.0,20,
6/17/13,10:33:07,67.0,72,12,8.0,17,
6/18/13,11:33:07,67.0,64,8,29.0,7,
6/19/13,12:33:07,65.0,64,13,9.0,19,
6/20/13,13:33:07,68.0,80,6,,1,
6/21/13,14:33:07,68.0,62,6,1.0,2,
6/22/13,15:33:07,,56,8,3.0,9,
6/23/13,16:33:07,65.0,69,4,26.0,9,
6/24/13,17:33:07,65.0,57,6,,1,
6/25/13,18:33:07,68.0,70,14,12.0,6,
6/26/13,19:33:07,70.0,68,8,21.0,20,
6/27/13,20:33:07,69.0,73,4,14.0,15,
6/28/13,21:33:07,66.0,74,19,29.0,3,
6/29/13,22:33:07,67.0,76,16,5.0,16,
6/30/13,23:33:07,67.0,73,14,1.0,8,
6/1/13,0:00:01,69.0,55,14,6.0,17,
6/2/13,1:00:01,68.0,77,5,19.0,3,
6/3/13,2:00:01,69.0,72,7,21.0,12,
6/4/13,3:00:01,68.0,69,2,6.0,14,
6/5/13,4:00:01,,70,15,30.0,10,
6/6/13,5:00:01,67.0,78,11,,3,
6/7/13,6:00:01,65.0,77,18,1.0,17,
6/8/13,7:00:01,65.0,75,11,7.0,11,
6/9/13,8:00:01,70.0,71,17,,4,
6/10/13,9:00:01,,60,7,15.0,13,
6/11/13,10:00:01,70.0,65,2,,9,
6/12/13,11:00:01,65.0,74,1,30.0,13,
6/13/13,12:00:01,,79,6,2.0,9,
6/14/13,13:00:01,67.0,57,1,13.0,13,
6/15/13,14:00:01,70.0,71,6,2.0,9,
6/16/13,15:00:01,67.0,77,4,22.0,12,
6/17/13,16:00:01,65.0,59,19,10.0,1,
6/18/13,17:00:01,65.0,71,18,17.0,13,
6/19/13,18:00:01,68.0,66,2,27.0,2,
6/20/13,19:00:01,67.0,77,6,4.0,5,
6/21/13,20:00:01,65.0,74,2,1.0,9,
6/22/13,21:00:01,,77,13,12.0,12,
6/23/13,22:00:01,,74,15,,19,
6/24/13,23:00:01,69.0,79,2,22.0,2,
6/25/13,0:13:19,65.0,69,10,5.0,16,
6/26/13,1:13:19,65.0,66,4,30.0,9,
6/27/13,2:13:19,69.0,72,9,23.0,3,
6/28/13,3:13:19,,78,9,15.0,19,
6/29/13,4:13:19,70.0,65,1,14.0,18,
6/30/13,5:13:19,68.0,68,15,19.0,8,
6/1/13,6:13:19,69.0,72,2,,16,
6/2/13,7:13:19,67.0,68,3,,19,
6/3/13,8:13:19,70.0,75,8,22.0,2,
6/4/13,9:13:19,70.0,64,3,28.0,15,
6/5/13,10:13:19,,75,12,10.0,11,
6/6/13,11:13:19,66.0,75,7,3.0,10,
6/7/13,12:13:19,66.0,69,2,15.0,13,
6/8/13,13:13:19,70.0,72,20,19.0,1,
6/9/13,14:13:19,69.0,57,7,1.0,1,
6/10/13,15:13:19,66.0,74,12,,13,
6/11/13,16:13:19,65.0,63,16,26.0,18,
6/12/13,17:13:19,69.0,66,17,3.0,14,
6/13/13,18:13:19,70.0,70,13,23.0,3,
6/14/13,19:13:19,65.0,62,14,14.0,14,
6/15/13,20:13:19,67.0,65,10,23.0,3,
6/16/13,21:13:19,67.0,58,17,24.0,15,
6/17/13,22:13:19,66.0,69,9,15.0,11,
6/18/13,23:13:19,67.0,69,3,7.0,7,
6/19/13,0:43:51,67.0,66,7,3.0,15,
6/20/13,1:43:51,69.0,79,8,23.0,8,
6/21/13,2:43:51,67.0,64,6,23.0,10,
6/22/13,3:43:51,67.0,64,15,,19,
6/23/13,4:43:51,70.0,80,12,24.0,1,
6/24/13,5:43:51,67.0,61,17,7.0,10,
6/25/13,6:43:51,67.0,55,9,21.0,18,
6/26/13,7:43:51,65.0,62,6,6.0,12,
6/27/13,8:43:51,70.0,62,11,1.0,17,
6/28/13,9:43:51,69.0,55,2,26.0,16,
6/29/13,10:43:51,67.0,60,6,14.0,15,
6/30/13,11:43:51,69.0,58,6,5.0,10,
6/1/13,12:43:51,68.0,76,12,25.0,8,
6/2/13,13:43:51,68.0,74,3,3.0,17,
6/3/13,14:43:51,70.0,76,6,17.0,4,
6/4/13,15:43:51,68.0,57,14,17.0,5,
6/5/13,16:43:51,69.0,66,9,30.0,5,
6/6/13,17:43:51,70.0,71,8,4.0,1,
6/7/13,18:43:51,65.0,71,7,26.0,16,
6/8/13,19:43:51,67.0,73,2,16.0,15,
6/9/13,20:43:51,69.0,74,14,18.0,16,
6/10/13,21:43:51,67.0,73,5,26.0,2,
6/11/13,22:43:51,66.0,78,9,28.0,20,
6/12/13,23:43:51,68.0,66,11,7.0,5,
6/13/13,0:13:20,66.0,61,3,24.0,6,
6/14/13,1:13:20,69.0,73,14,,1,
6/15/13,2:13:20,69.0,71,11,2.0,14,
6/16/13,3:13:20,69.0,71,4,23.0,2,
6/17/13,4:13:20,68.0,66,18,20.0,9,
6/18/13,5:13:20,66.0,67,6,,18,
6/19/13,6:13:20,70.0,74,6,2.0,20,
6/20/13,7:13:20,69.0,57,14,5.0,6,
6/21/13,8:13:20,66.0,71,8,6.0,5,
6/22/13,9:13:20,68.0,67,10,30.0,14,
6/23/13,10:13:20,67.0,59,8,1.0,9,
6/24/13,11:13:20,70.0,80,20,17.0,5,
6/25/13,12:13:20,69.0,71,8,14.0,6,
6/26/13,13:13:20,65.0,63,20,9.0,12,
6/27/13,14:13:20,67.0,69,7,13.0,10,
6/28/13,15:13:20,65.0,66,10,30.0,17,
6/29/13,16:13:20,70.0,76,11,3.0,2,
6/30/13,17:13:20,66.0,62,14,26.0,12,
6/1/13,18:13:20,65.0,66,11,30.0,1,
6/2/13,19:13:20,67.0,63,19,21.0,9,
6/3/13,20:13:20,67.0,69,13,2.0,1,
6/4/13,21:13:20,66.0,63,16,30.0,19,
6/5/13,22:13:20,69.0,70,5,27.0,2,
6/6/13,23:13:20,66.0,55,15,,4,
6/7/13,0:33:07,66.0,77,9,28.0,8,
6/8/13,1:33:07,67.0,75,14,4.0,19,
6/9/13,2:33:07,69.0,78,1,,18,
6/10/13,3:33:07,70.0,78,5,9.0,12,
6/11/13,4:33:07,,67,11,6.0,8,
6/12/13,5:33:07,67.0,71,12,13.0,4,
6/13/13,6:33:07,68.0,62,17,8.0,1,
6/14/13,7:33:07,70.0,68,14,21.0,5,
6/15/13,8:33:07,66.0,72,10,29.0,3,
6/16/13,9:33:07,66.0,71,3,20.0,19,
6/17/13,10:33:07,66.0,66,9,4.0,10,
6/18/13,11:33:07,69.0,61,8,7.0,8,
6/19/13,12:33:07,69.0,66,8,19.0,13,
6/20/13,13:33:07,65.0,69,15,28.0,10,
6/21/13,14:33:07,69.0,61,14,12.0,20,
6/22/13,15:33:07,69.0,67,8,,1,
6/23/13,16:33:07,67.0,56,2,2.0,18,
6/24/13,17:33:07,68.0,62,3,,16,
6/25/13,18:33:07,68.0,71,20,2.0,3,
6/26/13,19:33:07,69.0,60,16,24.0,16,
6/27/13,20:33:07,67.0,76,10,15.0,2,
6/28/13,21:33:07,69.0,55,4,16.0,8,
6/29/13,22:33:07,70.0,58,6,9.0,13,
6/30/13,23:33:07,67.0,77,12,14.0,16,
6/1/13,0:00:01,69.0,58,18,8.0,12,
6/2/13,1:00:01,70.0,61,20,26.0,13,
6/3/13,2:00:01,68.0,68,12,1.0,18,
6/4/13,3:00:01,69.0,69,11,10.0,2,
6/5/13,4:00:01,,72,20,14.0,11,
6/6/13,5:00:01,66.0,73,20,26.0,17,
6/7/13,6:00:01,67.0,69,16,25.0,14,
6/8/13,7:00:01,68.0,69,2,17.0,17,
6/9/13,8:00:01,67.0,64,18,19.0,4,
6/10/13,9:00:01,69.0,79,3,16.0,14,
6/11/13,10:00:01,68.0,69,3,28.0,15,
6/12/13,11:00:01,,69,8,22.0,5,
6/13/13,12:00:01,67.0,71,8,5.0,13,
6/14/13,13:00:01,68.0,62,14,30.0,1,
6/15/13,14:00:01,65.0,57,6,13.0,17,
6/16/13,15:00:01,,74,6,,9,
6/17/13,16:00:01,69.0,69,14,28.0,17,
6/18/13,17:00:01,,64,11,4.0,4,
6/19/13,18:00:01,67.0,64,6,30.0,8,
6/20/13,19:00:01,65.0,78,14,10.0,19,
6/21/13,20:00:01,67.0,75,2,22.0,8,
6/22/13,21:00:01,66.0,56,1,12.0,17,
6/23/13,22:00:01,65.0,77,13,2.0,3,
6/24/13,23:00:01,65.0,71,17,14.0,5,
6/25/13,0:13:19,69.0,56,18,5.0,13,
6/26/13,1:13:19,68.0,79,12,2.0,9,
6/27/13,2:13:19,68.0,59,2,22.0,9,
6/28/13,3:13:19,67.0,75,15,26.0,15,
6/29/13,4:13:19,70.0,57,11,30.0,14,
6/30/13,5:13:19,65.0,75,18,13.0,6,
6/1/13,6:13:19,,56,2,18.0,3,
6/2/13,7:13:19,66.0,70,13,12.0,15,
6/3/13,8:13:19,68.0,67,9,30.0,8,
6/4/13,9:13:19,68.0,55,12,13.0,3,
6/5/13,10:13:19,67.0,58,17,,16,
6/6/13,11:13:19,68.0,60,9,17.0,13,
6/7/13,12:13:19,66.0,56,8,21.0,13,
6/8/13,13:13:19,68.0,71,16,22.0,8,
6/9/13,14:13:19,68.0,60,18,7.0,19,
6/10/13,15:13:19,66.0,59,11,,13,
6/11/13,16:13:19,68.0,61,8,2.0,11,
6/12/13,17:13:19,70.0,57,5,10.0,17,
6/13/13,18:13:19,69.0,72,4,7.0,18,
6/14/13,19:13:19,65.0,57,10,25.0,14,
6/15/13,20:13:19,69.0,80,19,13.0,11,
6/16/13,21:13:19,67.0,78,13,27.0,4,
6/17/13,22:13:19,66.0,65,15,,11,
6/18/13,23:13:19,70.0,59,1,16.0,10,
6/19/13,0:43:51,65.0,58,3,20.0,1,
6/20/13,1:43:51,69.0,60,19,16.0,8,
6/21/13,2:43:51,68.0,78,18,6.0,8,
6/22/13,3:43:51,68.0,65,12,25.0,17,
6/23/13,4:43:51,67.0,74,9,,17,
6/24/13,5:43:51,69.0,65,15,27.0,10,
6/25/13,6:43:51,68.0,68,2,,12,
6/26/13,7:43:51,70.0,59,19,23.0,11,
6/27/13,8:43:51,69.0,57,19,23.0,12,
6/28/13,9:43:51,65.0,68,8,5.0,7,
6/29/13,10:43:51,65.0,72,16,25.0,13,
6/30/13,11:43:51,66.0,59,4,1.0,15,
6/1/13,12:43:51,70.0,74,5,6.0,6,
6/2/13,13:43:51,66.0,64,12,16.0,8,
6/3/13,14:43:51,70.0,62,3,29.0,5,
6/4/13,15:43:51,,60,16,21.0,10,
6/5/13,16:43:51,65.0,67,15,16.0,3,
6/6/13,17:43:51,67.0,55,8,,1,
6/7/13,18:43:51,65.0,59,19,27.0,19,
6/8/13,19:43:51,70.0,74,12,3.0,7,
6/9/13,20:43:51,,58,14,13.0,18,
6/10/13,21:43:51,66.0,60,6,2.0,16,
6/11/13,22:43:51,70.0,70,7,10.0,14,
6/12/13,23:43:51,70.0,79,8,22.0,15,
6/13/13,0:13:20,70.0,55,10,28.0,13,
6/14/13,1:13:20,65.0,61,7,2.0,20,
6/15/13,2:13:20,69.0,67,17,21.0,16,
6/16/13,3:13:20,66.0,79,18,24.0,6,
6/17/13,4:13:20,68.0,69,9,29.0,1,
6/18/13,5:13:20,70.0,62,1,29.0,17,
6/19/13,6:13:20,66.0,61,15,9.0,6,
6/20/13,7:13:20,70.0,67,3,27.0,13,
6/21/13,8:13:20,65.0,59,19,15.0,14,
6/22/13,9:13:20,69.0,68,11,21.0,9,
6/23/13,10:13:20,67.0,56,20,17.0,9,
6/24/13,11:13:20,69.0,59,11,17.0,16,
6/25/13,12:13:20,69.0,58,13,4.0,9,
6/26/13,13:13:20,68.0,72,6,5.0,9,
6/27/13,14:13:20,68.0,60,6,29.0,4,
6/28/13,15:13:20,,61,8,6.0,13,
6/29/13,16:13:20,65.0,68,9,28.0,6,
6/30/13,17:13:20,65.0,76,3,11.0,14,
6/1/13,18:13:20,68.0,64,13,,1,
6/2/13,19:13:20,66.0,58,19,11.0,9,
6/3/13,20:13:20,65.0,56,14,24.0,18,
6/4/13,21:13:20,70.0,58,8,21.0,14,
6/5/13,22:13:20,66.0,64,7,13.0,9,
6/6/13,23:13:20,65.0,57,8,5.0,12,
6/7/13,0:33:07,,71,19,18.0,12,
6/8/13,1:33:07,67.0,64,20,22.0,10,
6/9/13,2:33:07,,72,17,26.0,13,
6/10/13,3:33:07,70.0,65,7,8.0,18,
6/11/13,4:33:07,66.0,73,13,,4,
6/12/13,5:33:07,68.0,66,2,15.0,19,
6/13/13,6:33:07,68.0,76,17,7.0,11,
6/14/13,7:33:07,70.0,65,4,9.0,4,
6/15/13,8:33:07,69.0,67,9,14.0,18,
6/16/13,9:33:07,67.0,71,5,25.0,4,
6/17/13,10:33:07,66.0,59,4,26.0,10,
6/18/13,11:33:07,65.0,77,5,28.0,11,
6/19/13,12:33:07,70.0,59,11,14.0,10,
6/20/13,13:33:07,70.0,78,9,14.0,2,
6/21/13,14:33:07,65.0,76,19,9.0,10,
6/22/13,15:33:07,69.0,73,7,12.0,13,
6/23/13,16:33:07,65.0,59,16,29.0,19,
6/24/13,17:33:07,67.0,77,17,19.0,9,
6/25/13,18:33:07,67.0,55,15,,15,
6/26/13,19:33:07,69.0,72,6,20.0,11,
6/27/13,20:33:07,,64,17,7.0,11,
6/28/13,21:33:07,67.0,61,13,19.0,6,
6/29/13,22:33:07,67.0,57,16,19.0,15,
6/30/13,23:33:07,69.0,64,19,18.0,5,
6/1/13,0:45:56,70.0,66,20,9.0,19,
6/2/13,1:45:56,,62,3,20.0,16,
6/3/13,2:45:56,69.0,60,7,26.0,16,
6/4/13,3:45:56,69.0,77,4,10.0,5,
6/5/13,4:45:56,,78,13,5.0,5,
6/6/13,5:45:56,,56,20,,15,
6/7/13,6:45:56,66.0,78,3,8.0,11,
6/8/13,7:45:56,67.0,74,4,27.0,6,
6/9/13,8:45:56,,55,13,15.0,17,
6/10/13,9:45:56,66.0,59,8,29.0,5,
6/11/13,10:45:56,65.0,69,9,21.0,2,
6/12/13,11:45:56,65.0,78,17,,4,
6/13/13,12:45:56,66.0,68,4,15.0,13,
6/14/13,13:45:56,65.0,69,7,13.0,3,
6/15/13,14:45:56,68.0,67,11,18.0,5,
6/16/13,15:45:56,69.0,68,7,17.0,20,
6/17/13,16:45:56,65.0,74,5,25.0,20,
6/18/13,17:45:56,69.0,78,8,8.0,7,
6/19/13,18:45:56,68.0,56,8,,10,
6/20/13,19:45:56,,70,9,28.0,19,
6/21/13,20:45:56,68.0,64,10,,5,
6/22/13,21:45:56,66.0,60,2,5.0,12,
6/23/13,22:45:56,65.0,75,16,3.0,3,
6/24/13,23:45:56,70.0,77,13,28.0,1,
6/25/13,0:45:56,68.0,74,9,1.0,11,
6/26/13,1:45:56,65.0,77,16,20.0,2,
6/27/13,2:45:56,67.0,67,20,3.0,20,
6/28/13,3:45:56,67.0,73,3,16.0,20,
6/29/13,4:45:56,,60,18,21.0,3,
6/30/13,5:45:56,67.0,73,17,8.0,3,
6/1/13,6:45:56,69.0,57,12,6.0,19,
6/2/13,7:45:56,67.0,66,1,8.0,4,
6/3/13,8:45:56,69.0,80,6,22.0,16,
6/4/13,9:45:56,65.0,67,16,23.0,5,
6/5/13,10:45:56,70.0,57,19,18.0,18,
6/6/13,11:45:56,68.0,64,19,27.0,14,
6/7/13,12:45:56,67.0,65,19,18.0,2,
6/8/13,13:45:56,,78,2,2.0,13,
6/9/13,14:45:56,68.0,80,8,14.0,16,
6/10/13,15:45:56,65.0,76,14,20.0,14,
6/11/13,16:45:56,68.0,58,3,12.0,10,
6/12/13,17:45:56,69.0,64,12,13.0,12,
6/13/13,18:45:56,,55,3,29.0,4,
6/14/13,19:45:56,67.0,55,13,30.0,5,
6/15/13,20:45:56,65.0,80,12,15.0,9,
6/16/13,21:45:56,69.0,70,8,22.0,13,
